marca,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
bmw,2016,blanco,nafta,5,manual,1.6,hatchback,99800,5700000
bmw,2017,negro,nafta,2,automática,2.0,coupé,39200,9000000
toyota,2010,plateado,diésel,5,automática,4.5,suv,240000,8380000
audi,2017,azul petróleo,nafta,3,automática,2.0,hatchback,54000,9380000
volkswagen,2021,gris,diésel,4,automática,3.0,pick-up,29000,12200000
volkswagen,2021,gris,diésel,4,automática,3.0,pick-up,29000,12199999
volkswagen,2015,azul,nafta,3,manual,1.0,hatchback,15000,2290000
ford,2016,plateado,nafta,4,manual,2.0,sedán,60000,2800500
toyota,2012,blanco,diésel,5,manual,3.0,suv,76000,6290000
peugeot,2017,blanco,nafta,5,manual,1.6,suv,59000,2950000
ford,2017,rojo,nafta,5,manual,1.5,suv,15000,3400500
peugeot,2015,plateado,nafta,5,manual,1.5,hatchback,68000,2250500
ford,2012,blanco,nafta,5,automática,2.3,monovolumen,256000,2300000
peugeot,2018,negro,nafta,5,automática,1.6,suv,50000,3400000
chevrolet,2014,blanco,nafta,4,manual,1.8,sedán,115000,2300000
toyota,2016,gris,nafta,4,manual,1.8,sedán,58600,3296000
chevrolet,2019,blanco,nafta,5,automática,1.8,suv,19300,4738000
peugeot,2017,blanco,nafta,5,manual,1.6,hatchback,82000,3250000
fiat,2015,blanco,nafta,2,manual,1.4,pick-up,34000,2200000
toyota,2016,gris,diésel,4,automática,2.8,pick-up,64200,6960000
renault,2020,gris,nafta,3,manual,1.6,furgón,19500,3280000
jeep,2016,gris,nafta,5,manual,1.8,suv,63268,3700000
jeep,2019,negro,nafta,5,automática,1.8,suv,57598,4590000
ford,2015,blanco,diésel,4,manual,2.2,pick-up,99000,3589900
chevrolet,2020,blanco,nafta,5,automática,1.2,suv,3500,5950000
jeep,2021,blanco,nafta,5,automática,6.4,suv,1000,32000000
ford,2021,blanco,nafta,5,automática,1.5,suv,1500,4190000
chevrolet,2018,blanco,nafta,4,manual,1.4,sedán,48000,2670000
mercedes-benz,2018,plateado,nafta,5,automática,1.6,hatchback,6000,17000000
renault,2018,blanco,nafta,5,manual,2.0,suv,39000,3577900
honda,2019,blanco,nafta,5,automática,1.8,suv,55000,6099999
renault,2016,gris,nafta,3,manual,1.2,hatchback,34000,1890000
ford,2019,azul,nafta,5,automática,1.6,hatchback,56000,3500000
ford,2021,blanco,nafta,5,manual,1.5,suv,1500,3990000
ford,2021,blanco,nafta,5,manual,1.5,suv,1000,4600000
hyundai,2016,plateado,diésel,5,automática,2.2,suv,75000,6700000
chevrolet,2015,blanco,nafta,5,manual,1.8,suv,55000,3400000
renault,2011,gris,nafta,4,manual,1.6,sedán,89000,1650000
chevrolet,2019,blanco,nafta,4,manual,1.4,sedán,55000,2690000
toyota,2017,rojo,nafta,4,automática,1.5,sedán,93000,2600000
toyota,2016,plateado,nafta,4,automática,1.8,sedán,56900,3200000
toyota,2012,blanco,diésel,4,manual,3.0,pick-up,86000,5150000
toyota,2020,azul,nafta,5,manual,1.5,hatchback,30000,3450000
volkswagen,2015,blanco,nafta,5,automática,1.4,hatchback,74000,3400000
smart,2017,negro,nafta,5,manual,1.0,hatchback,69000,3100000
volkswagen,2021,gris,diésel,4,automática,3.0,pick-up,9600,11980000
renault,2012,azul,nafta,5,manual,2.0,suv,104000,2195000
jeep,2006,azul,nafta,5,manual,3.7,suv,152000,2300000
citroën,2012,negro,nafta,5,manual,1.6,monovolumen,129000,1700000
bmw,2021,azul,nafta,5,automática,3.0,hatchback,4000,17180000
audi,2019,azul,nafta,4,manual,2.0,sedán,44000,7700000
peugeot,2021,azul,nafta,5,automática,1.6,hatchback,8000,4998000
audi,2018,negro,nafta,3,automática,2.0,hatchback,10000,12500000
volkswagen,2021,blanco,diésel,4,automática,3.0,pick-up,34868,11400000
ford,2014,negro,nafta,5,manual,1.6,hatchback,100000,1750000
toyota,2021,blanco,nafta,5,manual,1.5,hatchback,13200,4300000
chevrolet,2013,gris,nafta,5,manual,1.8,monovolumen,87500,2020000
audi,2018,negro,nafta,5,automática,1.4,suv,65000,8500000
volkswagen,2017,azul,nafta,5,manual,1.0,hatchback,39500,2750000
toyota,2020,blanco,diésel,4,manual,2.4,pick-up,9500,7000000
ford,2017,azul,diésel,4,manual,3.2,pick-up,64777,5150000
ford,2018,plateado,nafta,5,automática,1.5,suv,56000,3900000
audi,2021,blanco,nafta,5,automática,3.0,suv,15961,35980000
honda,2014,blanco,nafta,5,automática,2.4,suv,98250,4279800
ford,2020,plateado,nafta,5,manual,1.5,suv,24200,3890000
ford,2014,gris,diésel,4,manual,3.2,pick-up,130000,4450000
citroën,2009,gris,nafta,5,automática,2.0,monovolumen,90000,1350000
jeep,2019,negro,nafta,5,automática,1.8,suv,55000,5200500
peugeot,2017,negro,nafta,5,automática,1.6,monovolumen,45000,3700000
volkswagen,2018,blanco,nafta,5,automática,1.4,suv,91000,6200000
peugeot,2017,negro,nafta,5,automática,1.6,monovolumen,45000,3700000
volkswagen,2013,azul,nafta,3,manual,1.4,hatchback,100000,1200000
honda,2012,gris,nafta,5,automática,2.4,suv,130000,3400000
nissan,2019,rojo,nafta,4,automática,1.6,sedán,38825,3781987
toyota,2020,gris,nafta,5,manual,1.5,hatchback,11000,2890000
nissan,2011,negro,diésel,4,manual,2.5,pick-up,153500,3350000
volkswagen,2018,blanco,nafta,5,automática,1.4,suv,91000,6200000
renault,2016,plateado,nafta,4,manual,1.6,sedán,99953,2250000
volkswagen,2018,blanco,diésel,4,manual,2.0,pick-up,41000,6600000
chevrolet,2018,gris,nafta,5,automática,1.4,hatchback,20353,3079618
renault,2012,rojo,nafta,5,manual,1.6,suv,57450,2096301
ford,2017,blanco,nafta,5,manual,1.6,hatchback,84000,2100000
