url,title,price,currency_symbol,marca,modelo,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
https://auto.mercadolibre.com.ar/mla-1131692104-bmw-serie-1-16-120i-sport-line-177cv-_jm#position=1&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,bmw serie 1 1.6 120i sport line 177cv,28500,u$s,bmw,serie 1,2016,blanco,nafta,5,manual,1.6,hatchback,99800,5500500
https://auto.mercadolibre.com.ar/mla-1128819519-toyota-land-cruiser-45-200-v8-d4-d-235cv-at-_jm#position=2&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,toyota land cruiser 4.5 200 v8 d4-d 235cv at,41900,u$s,toyota,land cruiser,2010,plateado,diésel,5,automática,4.5,suv,240000,8086700
https://auto.mercadolibre.com.ar/mla-1126962399-audi-a5-sportback-20-tfsi-stronic-quattro-230cv-_jm#position=3&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,audi a5 sportback 2.0 tfsi stronic quattro 230cv,46900,u$s,audi,a5 sportback,2017,azul petróleo,nafta,3,automática,2.0,hatchback,54000,9051700
https://auto.mercadolibre.com.ar/mla-1132820427-audi-a4-20-fsi-quattro-252cv-2016-_jm#position=4&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,audi a4 2.0 fsi quattro 252cv,35900,u$s,audi,a4,2016,blanco,nafta,4,automática,2.0,sedán,74000,6928700
https://auto.mercadolibre.com.ar/mla-1132831694-volkswagen-tiguan-20-sportline-tsi-automatica-2013-_jm#position=5&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,volkswagen tiguan 2.0 sport & style tsi 200cv tiptronic,3600000,$,volkswagen,tiguan,2013,blanco,nafta,5,automática,2.0,suv,96000,3600000
https://auto.mercadolibre.com.ar/mla-1132843623-nissan-versa-16-exclusive-automatico-2019-_jm#position=6&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,nissan versa 1.6 exclusive at,3400000,$,nissan,versa,2019,rojo,nafta,4,automática,1.6,sedán,6100,3400000
https://auto.mercadolibre.com.ar/mla-1132855791-volkswagen-vento-2018-20-tsi-gli-211cv-banchik-usasos-_jm#position=7&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,volkswagen vento 2.0 tsi gli 211cv app connect + nav,6200000,$,volkswagen,vento,2018,blanco,nafta,4,manual,2.0,sedán,68500,6200000
https://auto.mercadolibre.com.ar/mla-1132842552-toyota-etios-15-xls-automatico-2018-_jm#position=8&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,toyota etios 1.5 sedan xls at,2800000,$,toyota,etios,2018,blanco,nafta,4,automática,1.5,sedán,53000,2800000
https://auto.mercadolibre.com.ar/mla-1132799774-renault-sandero-stepway-2011-16-confort-105cv-_jm#position=9&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,renault sandero stepway 1.6 confort 105cv,1510000,$,renault,sandero stepway,2011,azul,gnc,5,manual,1.6,hatchback,148000,1510000
https://auto.mercadolibre.com.ar/mla-1132817402-toyota-hilux-4x2-srv-pack-30-2012-_jm#position=10&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,toyota hilux 3.0 cd srv cuero i 171cv 4x2,5150000,$,toyota,hilux,2012,blanco,diésel,4,manual,3.0,pick-up,86000,5150000
